cell_r0c0,cell_r1c0,cell_r2c0,cell_r3c0,cell_r4c0,cell_r5c0,cell_r0c1,cell_r1c1,cell_r2c1,cell_r3c1,cell_r4c1,cell_r5c1,cell_r0c2,cell_r1c2,cell_r2c2,cell_r3c2,cell_r4c2,cell_r5c2,cell_r0c3,cell_r1c3,cell_r2c3,cell_r3c3,cell_r4c3,cell_r5c3,cell_r0c4,cell_r1c4,cell_r2c4,cell_r3c4,cell_r4c4,cell_r5c4,cell_r0c5,cell_r1c5,cell_r2c5,cell_r3c5,cell_r4c5,cell_r5c5,cell_r0c6,cell_r1c6,cell_r2c6,cell_r3c6,cell_r4c6,cell_r5c6,best_action
opponent,player,empty,opponent,opponent,opponent,empty,empty,opponent,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 1)"
player,player,empty,player,player,player,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 0)"
empty,opponent,empty,opponent,opponent,opponent,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 0)"
opponent,player,empty,player,player,player,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 6)"
empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 0)"
opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 4)"
player,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 2)"
opponent,empty,opponent,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 6)"
player,empty,player,empty,opponent,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 5)"
opponent,empty,opponent,empty,player,opponent,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 4)"
player,empty,player,empty,empty,player,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 0)"
opponent,empty,opponent,empty,empty,opponent,player,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 1)"
player,opponent,player,empty,empty,player,opponent,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 5)"
opponent,player,opponent,empty,empty,opponent,player,opponent,empty,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 6)"
player,opponent,player,empty,empty,player,opponent,player,empty,empty,empty,empty,player,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 5)"
opponent,player,opponent,empty,empty,opponent,player,opponent,empty,empty,empty,empty,empty,player,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('drop', 2)"
player,opponent,player,empty,empty,player,opponent,player,empty,opponent,empty,empty,empty,opponent,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,"('pop', 2)"
